"asin","title","imgUrl","productURL","stars","reviews","price","listPrice","category_id","isBestSeller","boughtInLastMonth"
"B09PY4DJR9","Bluetooth Headset, 2023 Upgraded Neckband Bluetooth Headphones with Retractable Earbuds, Noise Cancelling Stereo Earphones with Mic, Foldable Wireless Headphones for Sports Office with Carry Case","https://m.media-amazon.com/images/I/61oTTcvCpmL._AC_UL320_.jpg","https://www.amazon.com/dp/B09PY4DJR9","4.3","3369","25.48","39.99","71","False","0"
"B0CGLX9NS7","Wireless Earbuds,Bluetooth Headphones 132Hr Playtime Sports Ear Buds with Digital Display Charging Case, IPX7 Waterproof Headset with Microphone Cordless Earphone for iPhone Andriod TV","https://m.media-amazon.com/images/I/51drPyVMjPL._AC_UL320_.jpg","https://www.amazon.com/dp/B0CGLX9NS7","5.0","48","249.0","0.0","71","False","0"
"B079TLV1WW","Beats Studio3 Wireless Headphones - Matte Black (Renewed)","https://m.media-amazon.com/images/I/61-EhyjxGTL._AC_UL320_.jpg","https://www.amazon.com/dp/B079TLV1WW","4.6","8077","175.0","254.49","71","False","0"
"B0BKT5F2Z8","SIMJAR Dinosaur Kids Headphones with Microphone for School, Volume Limiter 85/94dB, Over-Ear Girls Boys Headphones for Kids with Foldable Wired Headphones for iPad/Travel/Tablet","https://m.media-amazon.com/images/I/61QURJ8a1ZL._AC_UL320_.jpg","https://www.amazon.com/dp/B0BKT5F2Z8","4.6","543","13.99","0.0","71","False","0"
"B0BVLPB143","2 Packs Apple Wired Headphones Earbuds with Microphone,in-Ear Earphones Volume Control[Apple MFi Certified] Headphones Compatible with iPhone/ipad/Android/Computer and Other 3.5mm Jack Devices","https://m.media-amazon.com/images/I/51FoN4+nPpL._AC_UL320_.jpg","https://www.amazon.com/dp/B0BVLPB143","4.4","6952","13.99","0.0","71","False","0"
"B084SC59D7","Skullcandy Indy Evo In-Ear Wireless Earbuds, 30 Hr Battery, Microphone, Works with iPhone Android and Bluetooth Devices - Black","https://m.media-amazon.com/images/I/6119HR9g38L._AC_UL320_.jpg","https://www.amazon.com/dp/B084SC59D7","4.0","34852","26.99","69.99","71","False","0"
"B08GN9Q48R","Skullcandy Jib True In-Ear Wireless Earbuds, 22 Hr Battery, Microphone, Works with iPhone Android and Bluetooth Devices - Chill Grey","https://m.media-amazon.com/images/I/71Xmv1ThxmL._AC_UL320_.jpg","https://www.amazon.com/dp/B08GN9Q48R","4.3","15927","19.99","31.99","71","False","0"
"B0CBVNBFXZ","GUGTTR Bone Conduction Headphones Wireless Headphones Bluetooth 5.3 Open Ear Headphones with Microphones, 7H Playtime Sweatproof Sport Headset for Running, Cycling, Driving, Hiking","https://m.media-amazon.com/images/I/61-lJ3zGwNL._AC_UL320_.jpg","https://www.amazon.com/dp/B0CBVNBFXZ","4.5","812","29.99","49.99","71","False","0"
"B09ZTZZTHZ","Wireless Earbuds, Bluetooth Earbuds Environmental Noise Cancellation 4 Mic Call Noise Cancelling Mini Earbuds, Bluetooth 5.3 Light Weight Deep Bass Headphones for Work, Home Office","https://m.media-amazon.com/images/I/415OoU5LYiL._AC_UL320_.jpg","https://www.amazon.com/dp/B09ZTZZTHZ","4.3","3458","27.99","47.99","71","False","0"
"B0BFG43TDY","Sonitum Kids Headphones for School Bulk Set 5-Pack On-Ear, 3.5mm, Wired Headphones for Schools & Libraries – Adjustable, Cushioned Headphones (Mixed Colors)","https://m.media-amazon.com/images/I/7142N+qFUAL._AC_UL320_.jpg","https://www.amazon.com/dp/B0BFG43TDY","4.5","861","31.97","45.99","71","False","0"
