"asin","title","imgUrl","productURL","stars","reviews","price","listPrice","category_id","isBestSeller","boughtInLastMonth"
"B07R67M4H1","Royalty Essentials Bracelet Helper Buddy for Women Fasteners Arthritis Buddy Bracelet Necklace Holder Helper Bracelet Mate Pain Relief Clasp Tool (Silver)","https://m.media-amazon.com/images/I/414I6jo2AtL._AC_UL320_.jpg","https://www.amazon.com/dp/B07R67M4H1","4.0","512","5.99","6.99","128","False","50"
"B0BXRTR4TZ","HomeLights Highly Scented Candles, Big 33.3 oz for Home, Natural Soy Aromatherapy Candles, Smokeless Long Lasting 130 hrs with 3 Cotton Wicks,Candles Gifts for Women & Men - Clean Linen & Sea Salt","https://m.media-amazon.com/images/I/511w0UL6CqL._AC_UL320_.jpg","https://www.amazon.com/dp/B0BXRTR4TZ","4.2","290","29.99","0.0","128","False","50"
"B0008ELDCM","Soothing Touch Unscented Jojoba Massage Lotion, 1/2 Gallon","https://m.media-amazon.com/images/I/61BECAvpiDL._AC_UL320_.jpg","https://www.amazon.com/dp/B0008ELDCM","4.4","129","30.75","32.94","128","False","50"
"B07TJWRT9P","4 Pack Scented Candles Gifts for Women, 4.4 Ounce Christmas Gifts Large Tin Candles Soy Wax Aromatherapy Candles for Home Scented, Lavender Candle Set Gifts for Mom","https://m.media-amazon.com/images/I/71aasRHO6JL._AC_UL320_.jpg","https://www.amazon.com/dp/B07TJWRT9P","4.5","1345","12.59","18.99","128","False","50"
"B01G2GNIQS","Garmin Replacement Band,Forerunner 735XT,Black/Gray","https://m.media-amazon.com/images/I/71ChV8IXLML._AC_UL320_.jpg","https://www.amazon.com/dp/B01G2GNIQS","4.7","528","34.57","39.99","128","False","0"
"B0CDWNGM37","VEVOR Saddle Stool with Wheels, 400 LBS Weight Capacity Ergonomic Rolling Saddle Stool, Height Adjustable Thickened PU Leather Swivel Saddle Stools Chair for Salon, Spa, Tattoo, Clinic, Black","https://m.media-amazon.com/images/I/51r78MqzEjL._AC_UL320_.jpg","https://www.amazon.com/dp/B0CDWNGM37","4.0","2","89.99","0.0","128","False","50"
"B0B7BLRWHT","WINLIKE Oversized Telescoping Back Scratcher, Double Sided ABS Scratching Head, Back Scratcher Extendable Backcratchers for Men/Women, Aggressive/Moderate Scratching Tool","https://m.media-amazon.com/images/I/61AmfJz7PbL._AC_UL320_.jpg","https://www.amazon.com/dp/B0B7BLRWHT","4.2","196","6.99","0.0","128","False","100"
"B0BVVD5L12","MORELIFE Apollo 4-in-1 Therapeutic Knee Massager with Heat and Vibration","https://m.media-amazon.com/images/I/412at3i803L._AC_UL320_.jpg","https://www.amazon.com/dp/B0BVVD5L12","4.3","14","109.99","0.0","128","False","0"
"B0BXL4P558","mixsoon] Bean Cleansing Oil 6.59 fl oz / 195ml | Cleanser for the skin leaving the skin fresh | Cruelty-free","https://m.media-amazon.com/images/I/31a+3-Ss68L._AC_UL320_.jpg","https://www.amazon.com/dp/B0BXL4P558","4.2","36","25.0","0.0","128","False","0"
"B0BRFJS58S","Sinoacc Charger for Fitbit Inspire 3 Health & Fitness Tracker 3.3Ft Fast Charging Replacement Fitbit Inspire 3 USB Charging Cable Dock (not for Fitbit Inspire/Inspire 2)","https://m.media-amazon.com/images/I/61Ysp5GjKnL._AC_UL320_.jpg","https://www.amazon.com/dp/B0BRFJS58S","4.5","37","5.89","0.0","128","False","0"
"B0CF1F4JBT","Welist Handheld Percussion Electric Neck Back Massager - Waterproof and Personal Deep Tissue for Shoulder Leg Muscle Body - Travel Friendly - Pink","https://m.media-amazon.com/images/I/61LyOfRIfeL._AC_UL320_.jpg","https://www.amazon.com/dp/B0CF1F4JBT","0.0","0","15.98","19.99","128","False","50"
"B09QMYDWC9","WEIENSC Orgone Pyramid - Healing Crystals Pyramid and Healing Stones, Crystal Stone Energy Generator for Yoga Reiki Meditaion Blanacing Chakra","https://m.media-amazon.com/images/I/71CkrOeUaZL._AC_UL320_.jpg","https://www.amazon.com/dp/B09QMYDWC9","4.6","392","11.99","0.0","128","False","50"
"B0B3991XHZ","VANCLE Metal band Compatible with Fitbit Charge 2 Bands for Women Men, Stainless Steel Mesh Breathable Wristband with Adjustable Magnet Clasp for Fitbit Charge 2 band","https://m.media-amazon.com/images/I/81cUz2Pi0nL._AC_UL320_.jpg","https://www.amazon.com/dp/B0B3991XHZ","4.5","534","9.99","10.99","128","False","0"
"B00TXU8QBS","Indigo Wild Zum Mist Room and Body Spray - Lavender - 4 fl oz (2 Pack)","https://m.media-amazon.com/images/I/71NpgD7NEoL._AC_UL320_.jpg","https://www.amazon.com/dp/B00TXU8QBS","4.7","354","23.5","0.0","128","False","50"
"B07MQK6HH6","SVA Patchouli Oil 4 Oz 100% Pure & Natural, Steam Distilled Therapeutic Grade for Skin Care, Hair Care, Body Massage, Aromatherapy","https://m.media-amazon.com/images/I/51HTn9A5f4S._AC_UL320_.jpg","https://www.amazon.com/dp/B07MQK6HH6","4.4","899","19.99","0.0","128","False","100"
"B096NWWW5X","Cellulite Massager Handheld Cellulite Remover Massager Electric Body Back Massager for Arm Leg Hip Belly - White","https://m.media-amazon.com/images/I/81El6E3J7JL._AC_UL320_.jpg","https://www.amazon.com/dp/B096NWWW5X","4.4","632","39.99","0.0","128","False","100"
"B088BPF64R","iHillon 4 Pack Compatible with Fitbit Versa Bands/Fitbit Versa 2 Bands for Men Women, Soft Silicone Sport Wristbands Compatible with Fitbit Versa Lite Bands/Fitbit Versa 1 Bands/Versa SE (Large, Black Red+Midnight Blue Gray+All Black+Black Gray)","https://m.media-amazon.com/images/I/71Btums3vUL._AC_UL320_.jpg","https://www.amazon.com/dp/B088BPF64R","4.5","1794","13.98","0.0","128","False","0"
"B09P9QW8YH","Set of 3 Hand Forged Pure Copper Rings. Made with 100% Pure Raw Untreated Copper. Helps Reduce Finger Joint Pain and Swelling. Tibetan Healing Medicine Ring Set.","https://m.media-amazon.com/images/I/61rYdL1QgxL._AC_UL320_.jpg","https://www.amazon.com/dp/B09P9QW8YH","4.4","177","12.99","0.0","128","False","100"
"B0BRN9NT9Q","ALLJOY Cordless Massagers for Neck and Back, Rechargeable Shiatsu Shoulder and Neck Massager for Pain Relief deep Tissue with Heat, Wireless 3D Kneading Pillow Gifts for Women, Men, Mom, Dad","https://m.media-amazon.com/images/I/71Jd9NdiwnL._AC_UL320_.jpg","https://www.amazon.com/dp/B0BRN9NT9Q","4.3","111","79.99","89.99","128","False","50"
"B00JDWPZKQ","Bath and Body Works Aromatherapy 3 Wick Candle, 14.5 Oz, Eucalyptus Spearmint (2 Pack)","https://m.media-amazon.com/images/I/613LvQFMSwL._AC_UL320_.jpg","https://www.amazon.com/dp/B00JDWPZKQ","4.6","381","39.55","0.0","128","False","100"
"B0BNBDRK81","Zainpe Tooth Scented Candle Milky Dental Room Aesthetic Decor Vanilla Fragrance Candles Long Lasting Natural Soy Wax Aromatherapy Candle for Dentist Clinic Desk Supplies Dental Gifts 3.7 x 2.1 Inches","https://m.media-amazon.com/images/I/51h6CxqRigL._AC_UL320_.jpg","https://www.amazon.com/dp/B0BNBDRK81","4.9","17","11.99","12.99","128","False","50"
"B01MRMZGW8","artnaturals Bluetooth Essential Oil Diffuser, Maple - 400ml","https://m.media-amazon.com/images/I/71mpZB-JYJL._AC_UL320_.jpg","https://www.amazon.com/dp/B01MRMZGW8","4.5","2623","31.95","0.0","128","False","50"
"B0B5LBQCG9","Magnetic Therapy Necklace Hematite Necklace Black Obsidian Magnetic Necklace-Natural Pain Relief for Neck Arthritis, Back, Shoulder Pain, Headache Migraine Healing Magnets Necklace for Women/Men","https://m.media-amazon.com/images/I/51Bbe+81BAL._AC_UL320_.jpg","https://www.amazon.com/dp/B0B5LBQCG9","4.2","144","9.99","0.0","128","False","50"
"B0B4W78XQD","Metal Mesh Loop Bands for Fitbit Charge 5 Band for Women Men, Adjustable Stainless Steel Wristbands Replacement Straps for Charge 5 Activity Tracker","https://m.media-amazon.com/images/I/71EJ1D0QDWL._AC_UL320_.jpg","https://www.amazon.com/dp/B0B4W78XQD","3.9","343","9.98","10.98","128","False","0"
"B094CYM596","ACHEDAWAY Cupper - All New Smart Cupping Therapy Massager with Red Light Therapy","https://m.media-amazon.com/images/I/517ajP91-mL._AC_UL320_.jpg","https://www.amazon.com/dp/B094CYM596","4.5","282","169.0","0.0","128","False","100"
"B092VG6VRL","EASACE Back Scratcher for Women Men Extendable with Strong ABS Massage Head, 21inch Body Scratcher for Adults - Pets Compact - Retractable（Blue）","https://m.media-amazon.com/images/I/61hb2qy97AL._AC_UL320_.jpg","https://www.amazon.com/dp/B092VG6VRL","4.3","249","14.99","0.0","128","False","100"
"B08X6NNPL8","Amzpas bands Compatible with Fitbit Versa 2 / Fitbit Versa SE/Fitbit Versa Lite/Fitbit Versa, Breathable  Stainless Steel Loop Mesh Magnetic Adjustable Wristbands for Women Men","https://m.media-amazon.com/images/I/81dDEtUrtKL._AC_UL320_.jpg","https://www.amazon.com/dp/B08X6NNPL8","4.4","4259","10.99","0.0","128","False","0"
"B07JLLMG9G","Smoke Odor Exterminator 13 oz Jar Candles Dragon's Blood, (3) Set of Three Candles.","https://m.media-amazon.com/images/I/61LbtuclpwL._AC_UL320_.jpg","https://www.amazon.com/dp/B07JLLMG9G","4.4","107","25.43","0.0","128","False","50"
"B09SNTTJLM","Brookethorne Naturals Cryoglide Massage Ball Roller – Cryotherapy Ice Roller Ball Massager for Cold Therapy. Recovery, Trigger Point, Deep Tissue Muscle Relief. Plantar Fasciitis Massager","https://m.media-amazon.com/images/I/71aGGcuVc0L._AC_UL320_.jpg","https://www.amazon.com/dp/B09SNTTJLM","4.6","186","24.95","0.0","128","False","50"
"B01KALUHS8","Plant Therapy KidSafe Ear Relief Essential Oil Ear Drops Blend Pre-Diluted 10 mL (1/3 oz) 100% Pure, Children Ear Oil Drops, Natural Eardrops, for Kids and Adults, Therapeutic Grade","https://m.media-amazon.com/images/I/71wt-KRm+cL._AC_UL320_.jpg","https://www.amazon.com/dp/B01KALUHS8","4.4","238","10.99","0.0","128","False","50"
"B0BHXXQXQV","WMARK Barber Massager/Cordless Handheld Massager,USB Charge Vibration Neck/Legs/Hand/Face Massager, 2 Massage Nodes 2600AMH, Black","https://m.media-amazon.com/images/I/61mIUHxNFsL._AC_UL320_.jpg","https://www.amazon.com/dp/B0BHXXQXQV","4.6","25","115.99","0.0","128","False","50"
"B08XJJB1HZ","Smart WiFi Wireless Essential Oil Aromatherapy 400ml Ultrasonic Diffuser & Humidifier with Alexa & Google Home Phone App & Voice Control - Create Schedules - LED & Timer Settings(Dark)","https://m.media-amazon.com/images/I/71PTZ7Rr02L._AC_UL320_.jpg","https://www.amazon.com/dp/B08XJJB1HZ","4.3","885","19.95","0.0","128","False","50"
"B0BJ1PGSV5","AK Silicone Bands Compatible with Fitbit Versa 4 Bands & Fitbit Sense 2 Bands for Women Men, Soft Straps Replacement Wristbands for Fitbit Versa 3 & Versa 4 / Sense & Sense 2 Smart Watch (Black)","https://m.media-amazon.com/images/I/61Rz1dKMkIL._AC_UL320_.jpg","https://www.amazon.com/dp/B0BJ1PGSV5","4.3","175","5.99","6.99","128","False","0"
